Phoneme1,Phoneme2,EuclideanDistance
AH,P,1.7320508075688772
AH,B,2.0
AH,T,1.7320508075688772
AH,D,2.0
AH,K,3.3166247903554
AH,G,3.4641016151377544
AH,CH,2.29128784747792
AH,JH,2.5
AH,F,1.0
AH,V,1.4142135623730951
AH,TH,1.4142135623730951
AH,DH,1.7320508075688772
AH,S,1.4142135623730951
AH,Z,1.7320508075688772
AH,SH,2.23606797749979
AH,ZH,2.449489742783178
AH,HH,4.123105625617661
AH,M,2.0
AH,N,2.0
AH,NG,3.4641016151377544
AH,L,2.6457513110645907
AH,R,3.0413812651491097
AH,Y,3.872983346207417
AH,W,3.4641016151377544
AO,AW,0.5
AO,AX,1.4142135623730951
AO,AY,1.4142135623730951
AO,EY,2.2561028345356955
AO,EH,2.23606797749979
AO,ER,1.4142135623730951
AO,IY,2.449489742783178
AO,IH,2.3430749027719964
AO,OW,0.30000000000000004
AO,OY,1.118033988749895
AO,UW,1.0
AO,UH,0.7
AO,P,2.6457513110645907
AO,B,2.449489742783178
AO,T,1.7320508075688772
AO,D,1.4142135623730951
AO,K,2.6457513110645907
AO,G,2.449489742783178
AO,CH,1.8027756377319946
AO,JH,1.5
AO,F,1.7320508075688772
AO,V,1.4142135623730951
AO,TH,1.4142135623730951
AO,DH,1.0
AO,S,1.4142135623730951
AO,Z,1.0
AO,SH,1.7320508075688772
AO,ZH,1.4142135623730951
AO,HH,3.3166247903554
AO,M,2.449489742783178
AO,N,1.4142135623730951
AO,NG,2.449489742783178
AO,L,2.23606797749979
AO,R,2.692582403567252
AO,Y,3.3166247903554
AO,W,3.7416573867739413
AW,AX,1.118033988749895
AW,AY,1.118033988749895
AW,EY,1.8275666882497066
AW,EH,1.8027756377319946
AW,ER,1.118033988749895
AW,IY,2.0615528128088303
AW,IH,1.9339079605813716
AW,OW,0.5830951894845301
AW,OY,0.7071067811865476
AW,UW,1.118033988749895
AW,UH,0.8602325267042626
AW,P,2.29128784747792
AW,B,2.0615528128088303
AW,T,1.8027756377319946
AW,D,1.5
AW,K,3.0413812651491097
AW,G,2.8722813232690143
AW,CH,2.1213203435596424
AW,JH,1.8708286933869707
AW,F,1.5
AW,V,1.118033988749895
AW,TH,1.5
AW,DH,1.118033988749895
AW,S,1.5
AW,Z,1.118033988749895
AW,SH,2.0615528128088303
AW,ZH,1.8027756377319946
AW,HH,3.774917217635375
AW,M,2.0615528128088303
AW,N,1.5
AW,NG,2.8722813232690143
AW,L,2.29128784747792
AW,R,2.7386127875258306
AW,Y,3.5
AW,W,3.5
AX,AY,0.0
AX,EY,1.044030650891055
AX,EH,1.0
AX,ER,0.0
AX,IY,1.4142135623730951
AX,IH,1.2206555615733703
AX,OW,1.445683229480096
AX,OY,0.5
AX,UW,1.7320508075688772
AX,UH,1.57797338380595
AX,P,1.7320508075688772
AX,B,2.0
AX,T,1.7320508075688772
AX,D,2.0
AX,K,3.3166247903554
AX,G,3.4641016151377544
AX,CH,2.29128784747792
AX,JH,2.5
AX,F,1.0
AX,V,1.4142135623730951
AX,TH,1.4142135623730951
AX,DH,1.7320508075688772
AX,S,1.4142135623730951
AX,Z,1.7320508075688772
AX,SH,2.23606797749979
AX,ZH,2.449489742783178
AX,HH,4.123105625617661
AX,M,2.0
AX,N,2.0
AX,NG,3.4641016151377544
AX,L,2.6457513110645907
AX,R,3.0413812651491097
AX,Y,3.872983346207417
AX,W,3.4641016151377544
AY,EY,1.044030650891055
AY,EH,1.0
AY,ER,0.0
AY,IY,1.4142135623730951
AY,IH,1.2206555615733703
AY,OW,1.445683229480096
AY,OY,0.5
AY,UW,1.7320508075688772
AY,UH,1.57797338380595
AY,P,1.7320508075688772
AY,B,2.0
AY,T,1.7320508075688772
AY,D,2.0
AY,K,3.3166247903554
AY,G,3.4641016151377544
AY,CH,2.29128784747792
AY,JH,2.5
AY,F,1.0
AY,V,1.4142135623730951
AY,TH,1.4142135623730951
AY,DH,1.7320508075688772
AY,S,1.4142135623730951
AY,Z,1.7320508075688772
AY,SH,2.23606797749979
AY,ZH,2.449489742783178
AY,HH,4.123105625617661
AY,M,2.0
AY,N,2.0
AY,NG,3.4641016151377544
AY,L,2.6457513110645907
AY,R,3.0413812651491097
AY,Y,3.872983346207417
AY,W,3.4641016151377544
EY,EH,0.30000000000000004
EY,ER,1.044030650891055
EY,IY,0.7
EY,IH,0.3999999999999999
EY,OW,2.23606797749979
EY,OY,1.1575836902790226
EY,UW,2.3430749027719964
EY,UH,2.2715633383201093
EY,P,1.6401219466856727
EY,B,1.9209372712298547
EY,T,2.5865034312755126
EY,D,2.7730849247724096
EY,K,4.323193264243457
EY,G,4.437341546466758
EY,CH,3.2619012860600183
EY,JH,3.411744421846396
EY,F,1.445683229480096
EY,V,1.7578395831246945
EY,TH,2.2561028345356955
EY,DH,2.467792535850613
EY,S,2.2561028345356955
EY,Z,2.467792535850613
EY,SH,3.176476034853718
EY,ZH,3.3301651610693423
EY,HH,5.107837115648853
EY,M,1.57797338380595
EY,N,2.5475478405713994
EY,NG,4.3
EY,L,2.981610303175115
EY,R,3.2924155266308657
EY,Y,4.27668095606862
EY,W,3.047950130825634
EH,ER,1.0
EH,IY,1.0
EH,IH,0.7
EH,OW,2.2561028345356955
EH,OY,1.118033988749895
EH,UW,2.449489742783178
EH,UH,2.3430749027719964
EH,P,1.4142135623730951
EH,B,1.7320508075688772
EH,T,2.449489742783178
EH,D,2.6457513110645907
EH,K,4.242640687119285
EH,G,4.358898943540674
EH,CH,3.2015621187164243
EH,JH,3.3541019662496847
EH,F,1.4142135623730951
EH,V,1.7320508075688772
EH,TH,2.23606797749979
EH,DH,2.449489742783178
EH,S,2.23606797749979
EH,Z,2.449489742783178
EH,SH,3.1622776601683795
EH,ZH,3.3166247903554
EH,HH,5.0990195135927845
EH,M,1.7320508075688772
EH,N,2.6457513110645907
EH,NG,4.358898943540674
EH,L,3.1622776601683795
EH,R,3.5
EH,Y,4.47213595499958
EH,W,3.3166247903554
ER,IY,1.4142135623730951
ER,IH,1.2206555615733703
ER,OW,1.445683229480096
ER,OY,0.5
ER,UW,1.7320508075688772
ER,UH,1.57797338380595
ER,P,1.7320508075688772
ER,B,2.0
ER,T,1.7320508075688772
ER,D,2.0
ER,K,3.3166247903554
ER,G,3.4641016151377544
ER,CH,2.29128784747792
ER,JH,2.5
ER,F,1.0
ER,V,1.4142135623730951
ER,TH,1.4142135623730951
ER,DH,1.7320508075688772
ER,S,1.4142135623730951
ER,Z,1.7320508075688772
ER,SH,2.23606797749979
ER,ZH,2.449489742783178
ER,HH,4.123105625617661
ER,M,2.0
ER,N,2.0
ER,NG,3.4641016151377544
ER,L,2.6457513110645907
ER,R,3.0413812651491097
ER,Y,3.872983346207417
ER,W,3.4641016151377544
IY,IH,0.30000000000000004
IY,OW,2.3430749027719964
IY,OY,1.5
IY,UW,2.23606797749979
IY,UH,2.2561028345356955
IY,P,2.23606797749979
IY,B,2.449489742783178
IY,T,3.0
IY,D,3.1622776601683795
IY,K,4.58257569495584
IY,G,4.69041575982343
IY,CH,3.5
IY,JH,3.640054944640259
IY,F,1.7320508075688772
IY,V,2.0
IY,TH,2.449489742783178
IY,DH,2.6457513110645907
IY,S,2.449489742783178
IY,Z,2.6457513110645907
IY,SH,3.3166247903554
IY,ZH,3.4641016151377544
IY,HH,5.196152422706632
IY,M,1.4142135623730951
